"Year","State","District","Democrat","Republican","Other","Total","Winner","Dperc","Rperc","Operc"
2018,"Illinois","3","163053","57885",2396,"223334","D",0.7300858803,0.2591857935,0.01072832618
2018,"Illinois","4","143895","22294",0,"166189","D",0.8658515305,0.1341484695,0
2018,"Illinois","5","213992","65134",5,"279131","D",0.7666364539,0.2333456334,1.791273631e-05
2018,"Illinois","6","169001","146445",0,"315446","D",0.5357525535,0.4642474465,0
2018,"Illinois","7","215746","30497",0,"246243","D",0.8761507941,0.1238492059,0
2018,"Illinois","8","130054","67073",0,"197127","D",0.6597472695,0.3402527305,0
2018,"Illinois","9","213368","76983",0,"290351","D",0.7348622874,0.2651377126,0
2018,"Illinois","10","156540","82124",0,"238664","D",0.6559011833,0.3440988167,0
2018,"Illinois","11","145407","82358",0,"227765","D",0.6384080083,0.3615919917,0
2018,"Illinois","12","118724","134884",7935,"261543","R",0.4539368287,0.5157239918,0.03033917941
2018,"Illinois","13","134458","136516",7,"270981","R",0.4961897698,0.5037843982,2.583206941e-05
2018,"Illinois","14","156035","141164",0,"297199","D",0.5250185902,0.4749814098,0
2018,"Illinois","15","74309","181294",5,"255608","R",0.2907146881,0.7092657507,1.956120309e-05
2018,"Illinois","16","104569","151254",2,"255825","R",0.4087520766,0.5912401055,7.817844229e-06
2018,"Illinois","17","142659","87090",0,"229749","D",0.6209341499,0.3790658501,0
2018,"Illinois","18","95486","195927",0,"291413","R",0.3276655468,0.6723344532,0
2018,"Indiana","1","159611","85594",4,"245209","D",0.6509181963,0.3490654911,1.631261495e-05
2018,"Indiana","2","103363","125499",27,"228889","R",0.4515857031,0.5482963358,0.0001179611078
2018,"Indiana","3","86610","158927",0,"245537","R",0.352737062,0.647262938,0
2018,"Indiana","4","87824","156539",0,"244363","R",0.3593997455,0.6406002545,0
2018,"Indiana","5","137142","180035",0,"317177","R",0.4323831804,0.5676168196,0
2018,"Indiana","6","79430","154260",8036,"241726","R",0.3285951863,0.638160562,0.03324425176
2018,"Indiana","7","141139","76457",233,"217829","D",0.647934848,0.3509955056,0.001069646374
2018,"Indiana","8","86895","157396",0,"244291","R",0.3557028298,0.6442971702,0
2018,"Indiana","9","118090","153271",0,"271361","R",0.4351767572,0.5648232428,0
2018,"Iowa","1","170342","153442",10459,"334243","D",0.5096352055,0.4590731893,0.03129160521
2018,"Iowa","2","171446","133287",8180,"312913","D",0.5479030913,0.4259554573,0.02614145146
2018,"Iowa","3","175642","167933",12666,"356241","D",0.4930426313,0.4714027863,0.03555458243
2018,"Iowa","4","147246","157676",8329,"313251","R",0.4700575577,0.5033535408,0.02658890155
2018,"Kansas","1","71558","153082",0,"224640","R",0.3185452279,0.6814547721,0
2018,"Kansas","2","123859","126098",14731,"264688","R",0.46794339,0.4764024059,0.0556542042
2018,"Kansas","3","170518","139762",8021,"318301","D",0.5357130515,0.4390875304,0.02519941816
2018,"Kansas","4","98445","144248",0,"242693","R",0.4056359269,0.5943640731,0
2018,"Kentucky","1","78849","172167",0,"251016","R",0.3141194187,0.6858805813,0
2018,"Kentucky","2","79964","171700",5681,"257345","R",0.3107268453,0.6671977307,0.02207542404
2018,"Kentucky","3","173002","101930",3788,"278720","D",0.6207017796,0.3657075201,0.01359070034
2018,"Kentucky","4","90536","162946",8330,"261812","R",0.3458053871,0.6223778895,0.03181672345
2018,"Kentucky","5","45890","172093",34,"218017","R",0.2104881729,0.7893558759,0.0001559511414
2018,"Kentucky","6","144736","154468",3684,"302888","R",0.4778531999,0.5099838884,0.0121629117
2018,"Louisiana","1","71521","192555",5249,"269325","R",0.2655564838,0.7149540518,0.0194894644
2018,"Louisiana","2","190182","0",45800,"235982","D",0.8059174005,0,0.1940825995
2018,"Louisiana","3","74713","168263",2967,"245943","R",0.3037817706,0.6841544586,0.01206377087
2018,"Louisiana","4","72934","139326",4612,"216872","R",0.3362997528,0.6424342469,0.02126600022
2018,"Louisiana","5","67118","149018",7810,"223946","R",0.2997061792,0.6654193422,0.03487447867
2018,"Louisiana","6","76716","186553",5256,"268525","R",0.2856940695,0.694732334,0.0195735965
2018,"Maine","1","201195","111188",29670,"342053","D",0.5881983201,0.3250607362,0.08674094365
2018,"Maine","2","142440","138931",0,"281371","D",0.5062355396,0.4937644604,0
2018,"Maryland","1","116631","183662",5893,"306186","R",0.3809155219,0.599838007,0.0192464711
2018,"Maryland","2","167201","77782",8319,"253302","D",0.6600855895,0.3070721905,0.03284221996
2018,"Maryland","3","202407","82774",7699,"292880","D",0.6910919148,0.2826208686,0.02628721661
2018,"Maryland","4","209642","53327",5614,"268583","D",0.7805482849,0.1985494242,0.02090229091
2018,"Maryland","5","213796","82361",8052,"304209","D",0.7027931455,0.2707382096,0.02646864491
2018,"Maryland","6","163346","105209",8529,"277084","D",0.5895179801,0.3797007406,0.03078127932
2018,"Maryland","7","202345","56266",6099,"264710","D",0.7644025537,0.212557138,0.02304030826
2018,"Maryland","8","217679","96525",5126,"319330","D",0.6816741302,0.3022735102,0.01605235963
2018,"Massachusetts","1","211790","0",5110,"216900","D",0.9764407561,0,0.02355924389
2018,"Massachusetts","2","191332","93391",170,"284893","D",0.6715924926,0.3278107921,0.000596715258
2018,"Massachusetts","3","173175","93445",12707,"279327","D",0.6199722905,0.3345362246,0.04549148489
2018,"Massachusetts","4","245289","0",5727,"251016","D",0.9771847213,0,0.02281527871
2018,"Massachusetts","5","236243","74856",225,"311324","D",0.7588332413,0.240444039,0.0007227197389
2018,"Massachusetts","6","217703","104798",11474,"333975","D",0.6518541807,0.3137899543,0.03435586496
2018,"Massachusetts","7","216559","0",3852,"220411","D",0.9825235583,0,0.01747644174
2018,"Massachusetts","8","259159","0",4148,"263307","D",0.9842465259,0,0.01575347408
2018,"Massachusetts","9","192347","131463",118,"323928","D",0.5937955348,0.4058401867,0.0003642784816
2018,"Michigan","1","145246","187251",0,"332497","R",0.4368340165,0.5631659835,0
2018,"Michigan","2","131254","168970",5239,"305463","R",0.4296887021,0.5531602846,0.01715101338
2018,"Michigan","3","134185","169107",7448,"310740","R",0.431824033,0.5442073759,0.02396859111
2018,"Michigan","4","106540","178510",0,"285050","R",0.3737589897,0.6262410103,0
2018,"Michigan","5","164502","99265",12646,"276413","D",0.5951311986,0.3591184206,0.04575038077
2018,"Michigan","6","134082","147436",11920,"293438","R",0.4569346847,0.5024434463,0.04062186901
2018,"Michigan","7","136330","158730",0,"295060","R",0.4620416187,0.5379583813,0
2018,"Michigan","8","172880","159782",8931,"341593","D",0.5060993639,0.4677554868,0.02614514934
